Date,amount
2020-09-16T17:12:32.324Z,242428
2020-09-16T17:12:32.324Z,173013
2020-09-16T17:12:32.324Z,153169
2020-09-16T17:12:32.324Z,139571
2020-09-16T17:12:22.287Z,134548
2020-09-16T17:12:22.287Z,134548
2020-11-10T12:39:32.643Z,132651
2020-11-10T12:39:32.643Z,132651
2020-09-16T17:12:22.287Z,126398
2020-09-16T17:12:22.287Z,126398
2020-09-16T17:12:22.287Z,126398
2020-09-16T17:12:32.324Z,124939
2020-09-16T17:12:22.287Z,122366
2020-09-16T17:12:22.287Z,122366
2020-09-16T17:12:22.287Z,107502
2020-09-16T17:12:22.287Z,107502
2020-09-16T17:12:22.287Z,99290
2020-09-16T17:12:22.287Z,99290
2020-09-16T17:12:32.324Z,95235
2020-09-16T17:12:32.324Z,89507
2020-09-16T17:12:22.287Z,86038
2020-11-10T12:39:32.643Z,86038
2020-09-16T17:12:22.287Z,83191
2020-09-16T17:12:22.287Z,82751
2020-09-16T17:12:22.287Z,82751
2020-09-16T17:12:32.324Z,68361
2020-09-16T17:12:32.324Z,63752
2020-09-16T17:12:32.324Z,63582
2021-01-05T10:36:37.573Z,63582
2020-09-16T17:12:22.287Z,61351
2020-09-16T17:12:22.287Z,61351
2020-10-20T05:09:35.470Z,61351
2021-01-05T10:36:37.573Z,57205
2020-09-16T17:12:32.324Z,54949
2020-09-16T17:12:32.324Z,53308
2020-09-16T17:12:32.324Z,52094
2020-09-16T17:12:32.324Z,52094
2020-09-16T17:12:22.287Z,48381
2020-09-16T17:12:22.287Z,47206
2020-09-16T17:12:22.287Z,47206
2020-09-16T17:12:22.287Z,47206
2020-09-16T17:12:22.287Z,44086
2020-09-16T17:12:22.287Z,43214
2020-09-16T17:12:22.287Z,41079
2020-09-16T17:12:32.324Z,40806
2020-09-16T17:12:32.324Z,40806
2020-09-16T17:12:32.324Z,38941
2020-09-16T17:12:22.287Z,38941
2020-09-16T17:12:22.287Z,38941
2020-09-16T17:12:22.287Z,38866
2020-09-16T17:12:22.287Z,38717
2020-09-16T17:12:22.287Z,38717
2020-11-10T12:39:32.643Z,37330
2020-11-10T12:39:32.643Z,37015
2020-09-16T17:12:32.324Z,36888
2020-09-16T17:12:32.324Z,36880
2020-09-16T17:12:32.324Z,36742
2020-09-16T17:12:22.287Z,36742
2020-09-16T17:12:32.324Z,34191
2020-09-16T17:12:32.324Z,34191
2020-09-16T17:12:32.324Z,32648
2020-09-16T17:12:22.287Z,32166
2020-09-16T17:12:32.324Z,32166
2020-09-16T17:12:22.287Z,31761
