CompanyID,SalesOfMainProduct,SalesOfOtherProduct,Monthly budget,PrimaryType,Rank,YearFounded,CompanyStatus,OriginCity,OriginCountry,Investments,TodaysClients,ReturningClient,TotalActiveClients,ClientsInTheLast7Days,ClientsInTheLast6Months,ClientsInTheLast12Months,TotalClientsInTheLast7Days,TotalClientsInTheLast6Months,TotalClientsInTheLast12Months
100002-16,0,0,,Toys,,2000,Actively Seeking New Employees,Cambridge,United States,1,11,1,10,,,,,,
100011-52,0,2,120.9724247,Sport,,,Actively Seeking New Employees,Vancouver,Canada,2,34,2,23,,,,,,3
100016-92,0,1,16.8,Pets,0,2015,Actively Seeking New Employees,Seattle,United States,5,18,4,9,,1,1,,3,3
100061-83,3,14,5371.792305,Food,100.4819056,1856,Actively Seeking New Employees,London,United Kingdom,15,77,13,34,,6,6,,9,12
100103-32,0,4,,Gardening,,1936,,Mumbai,India,1,6,1,2,,,,,,
100105-93,0,0,,Pets,,2013,Actively Seeking New Employees,New York,United States,1,15,1,11,,,,,,
10011-70,2,13,5466.612,Pharma,129.4893405,1993,Actively Seeking New Employees,Dallas,United States,2,62,2,14,,,,,1,2
10012-69,13,45,12795.6,Alcohol,4522.828392,1984,Actively Seeking New Employees,Boston,United States,1,368,1,27,,,,,17,25
10014-31,0,23,941,Banking,,1844,Actively Seeking New Employees,New York,United States,1,131,1,13,,,1,,5,7
10014-49,72,155,619000,Alcohol,139416.2287,1985,Actively Seeking New Employees,New York,United States,15,1556,10,414,,3,6,1,52,97
10014-85,0,18,160000,Banking,,2001,Actively Seeking New Employees,Amsterdam,Netherlands,1,83,,7,,,,,1,3
10015-03,1,11,1623.934135,Banking,,1989,Actively Seeking New Employees,London,United Kingdom,3,138,3,12,,,,,6,10
10015-12,80,211,66200,Alcohol,16602.44675,1984,Actively Seeking New Employees,Boston,United States,5,957,4,96,,3,4,1,36,55
100153-81,0,0,6,Pets,0.35760727,2010,Actively Seeking New Employees,Truckee,United States,3,16,3,9,,,,,,
100157-14,0,6,,Toys,,2000,Actively Seeking New Employees,Paris,France,1,117,1,82,,,,,1,1
10018-18,58,161,28000000,Furniture,2461.306371,1822,Actively Seeking New Employees,New York,United States,14,561,11,89,,4,8,,11,21
10019-17,66,158,4000,Alcohol,13919.88952,1969,Actively Seeking New Employees,London,United Kingdom,4,1011,4,76,,,2,,33,53
100191-07,0,8,350,Office,173.4864007,2014,Actively Seeking New Employees,Haddonfield,United States,35,52,34,44,,7,15,,8,18
10020-07,23,27,483.889699,Pets,25.53571429,1998,Actively Seeking New Employees,Paris,France,4,165,3,22,,,,,,
10020-16,56,62,455000,Food,32850.17307,1990,Actively Seeking New Employees,New York,United States,5,621,3,112,,2,3,,24,39
100213-21,0,1,,Gardening,,2014,Actively Seeking New Employees,Antwerp,Belgium,2,14,2,6,,,1,,1,3
10022-14,5,52,1200,Pets,33.28192611,1984,Actively Seeking New Employees,Arlington,United States,37,239,27,49,,,5,,,5
100236-79,0,7,220.3812228,Sport,141.4497234,2004,Actively Seeking New Employees,London,United Kingdom,16,71,16,51,,,1,,,1
10024-30,42,101,148000,Food,16489.81745,1995,Actively Seeking New Employees,Los Angeles,United States,8,718,6,153,,1,1,1,23,38
10024-66,5,15,5800,Furniture,82.53923054,1895,Actively Seeking New Employees,Minneapolis,United States,6,67,6,10,,,1,,1,5
10024-75,17,80,1131120,Furniture,,1811,Actively Seeking New Employees,New York,United States,27,231,23,68,,6,12,,10,18
10024-93,16,52,2600000,Food,1375.998411,1998,Actively Seeking New Employees,Zurich,Switzerland,15,244,15,84,,3,7,,4,12
100247-86,0,1,,Pets,,2012,Actively Seeking New Employees,Hong Kong,Hong Kong,4,18,4,11,,,,,,
10025-47,32,106,1566861.331,Furniture,3001.245422,1856,Actively Seeking New Employees,Zurich,Switzerland,14,400,11,87,,1,4,,8,16
10026-46,0,0,,Banking,,1987,Actively Seeking New Employees,London,United Kingdom,2,3,1,1,,1,1,,1,1
10026-64,0,6,,Sport,,,,Washington,United States,5,105,3,74,,,,,,
10026-73,0,6,,Sport,,1800,Actively Seeking New Employees,Washington,United States,2,56,1,33,,,,,2,2
10026-91,29,109,937914.9354,Furniture,675.0980582,1870,Actively Seeking New Employees,Frankfurt,Germany,12,352,12,85,,2,5,,4,8
10027-99,0,3,3000,Food,,2006,Actively Seeking New Employees,Southlake,United States,2,91,1,44,,,1,,1,4
100273-15,0,4,181.4586371,Pets,,2013,Will Consider New Projects,Berlin,Germany,10,36,5,14,,1,4,,2,7
100278-91,0,1,,Pets,,2014,Actively Seeking New Employees,New York,United States,3,10,3,7,,1,1,,1,1
10028-35,3,2,61700,Furniture,,1935,Actively Seeking New Employees,Chicago,United States,2,17,2,7,,,,,,
