Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Risk,Credit amount,Recovered_Principle,Recoveries,type
67,male,2,own,NA,little,6,radio/TV,good,17000,17000,0,CRM Data
22,female,2,own,little,moderate,48,radio/TV,bad,11000,9942.67,0,CRM Data
49,male,1,own,little,NA,12,education,good,32200,32200,0,CRM Data
45,male,2,free,little,little,42,furniture/equipment,good,12000,12000,0,CRM Data
53,male,2,free,little,little,24,car,bad,7000,167.56,0,CRM Data
35,male,1,free,NA,NA,36,education,good,17300,17300,0,CRM Data
53,male,2,own,quite rich,NA,24,furniture/equipment,good,25575,25575,0,CRM Data
35,male,3,rent,little,moderate,36,car,good,7500,7500,0,CRM Data
61,male,1,own,rich,NA,12,radio/TV,good,20000,20000,0,CRM Data
28,male,3,own,little,moderate,30,car,bad,10000,235.76,0,CRM Data
25,female,2,rent,little,moderate,12,car,bad,9550,195.78,0,CRM Data
24,female,2,rent,little,little,48,business,bad,24000,273.56,0,CRM Data
22,female,2,own,little,moderate,12,radio/TV,good,23000,23000,0,CRM Data
60,male,1,own,little,little,24,car,bad,15000,188.69,0,CRM Data
28,female,2,rent,little,little,15,car,good,5000,5000,0,CRM Data
32,female,1,own,moderate,little,24,radio/TV,bad,24650,522.36,0,CRM Data
53,male,2,own,NA,NA,24,radio/TV,good,18000,18000,0,CRM Data
25,male,2,own,NA,little,30,business,good,35000,35000,0,CRM Data
44,female,3,free,little,moderate,24,car,bad,28500,731.72,5201.51,CRM Data
31,male,2,own,quite rich,NA,24,radio/TV,good,20000,20000,0,CRM Data
48,male,2,own,little,NA,9,car,good,24000,24000,0,CRM Data
44,male,2,rent,quite rich,little,6,radio/TV,good,26125,26125,0,CRM Data
48,male,1,rent,little,little,10,car,good,10000,10000,0,CRM Data
44,male,2,own,moderate,moderate,12,car,good,30000,30000,0,CRM Data
26,male,2,own,NA,NA,10,furniture/equipment,good,24000,24000,0,CRM Data
36,male,1,own,little,little,6,furniture/equipment,good,15050,15050,0,CRM Data
39,male,1,own,little,NA,6,radio/TV,good,32150,32150,0,CRM Data
42,female,2,rent,rich,rich,12,radio/TV,good,14175,14175,0,CRM Data
34,male,2,own,little,moderate,7,radio/TV,good,3000,3000,0,CRM Data
63,male,2,own,little,little,60,business,bad,25000,574.25,5146.5,CRM Data
36,male,2,own,rich,moderate,18,business,good,15450,15450,0,CRM Data
27,male,2,own,little,little,24,furniture/equipment,good,10000,10000,0,CRM Data
30,male,2,own,moderate,moderate,18,car,good,31050,31050,0,CRM Data
57,male,1,rent,NA,NA,12,business,good,12000,12000,0,CRM Data
33,female,3,own,little,rich,12,furniture/equipment,good,12200,12200,0,CRM Data
25,male,1,own,little,moderate,45,radio/TV,bad,27500,0,5008,CRM Data
31,male,2,free,little,NA,48,education,good,7200,7200,0,CRM Data
37,male,2,own,little,rich,18,radio/TV,bad,23475,220.04,4988.3,CRM Data
37,male,2,own,little,rich,10,domestic appliances,good,10000,10000,0,CRM Data
24,male,2,own,little,moderate,9,radio/TV,good,25000,25000,0,CRM Data
30,male,3,own,quite rich,NA,30,radio/TV,good,21000,21000,0,CRM Data
26,male,2,own,quite rich,moderate,12,radio/TV,good,15000,15000,0,CRM Data
44,male,1,own,little,moderate,18,repairs,good,15850,15850,0,CRM Data
24,male,2,rent,moderate,little,30,car,good,3950,3950,0,CRM Data
58,female,1,free,little,little,48,car,bad,24000,967.52,4958.04,CRM Data
35,female,3,own,little,NA,11,car,good,30000,30000,0,CRM Data
39,male,2,own,quite rich,NA,36,radio/TV,good,35000,35000,0,CRM Data
23,female,0,rent,quite rich,little,6,car,good,5600,5600,0,CRM Data
39,male,1,own,little,NA,11,car,good,12275,12275,0,CRM Data
28,female,2,own,moderate,NA,12,radio/TV,good,12000,12000,0,CRM Data
29,male,1,own,NA,moderate,24,furniture/equipment,good,18000,18000,0,CRM Data
30,male,3,own,little,moderate,27,car,good,6000,6000,0,CRM Data
25,male,2,own,little,NA,12,radio/TV,good,14000,14000,0,CRM Data
31,male,2,own,NA,NA,18,car,good,12000,12000,0,CRM Data
57,male,2,free,little,moderate,36,car,bad,27425,715.92,4934.6,CRM Data
26,male,1,own,NA,NA,6,car,good,3000,144.23,0,CRM Data
52,male,3,own,NA,moderate,12,radio/TV,bad,27325,548.79,4894.68,CRM Data
