LandLordID,YearFounded,PreferredIndustry,LandlordOriginCity,LandlordOriginCountry,ActiveCompanies,TotalPopulationAround,Area,AllCompanyID,LastUpdated
100003-15,2011,Retail,Providence,United States,14,21626.62143,12,"['111271-69', '11213-56', '126289-72', '183183-94', '232034-50', '459725-14', '459725-23', '51341-23', '51632-47', '52296-76', '53355-61', '60028-93', '60491-98', '62804-08']",02/22/2021
100022-14,2014,Consumer Durables,San Francisco,United States,4,265880.9708,78,"['182465-02', '268464-43', '52602-67', '60008-86']",02/09/2021
100024-12,2014,Healthcare Technology Systems,New York,United States,33,997954.6304,74,"['105862-42', '105918-31', '106379-92', '106526-35', '106621-93', '11223-28', '11295-73', '125702-02', '14182-66', '149720-23', '150042-52', '168728-68', '181504-36', '188065-18', '228885-31', '232479-73', '235207-45', '264731-59', '432514-27', '432514-36', '432514-45', '453315-97', '51709-96', '52370-29', '54685-27', '56451-79', '56833-03', '59991-49', '60478-12', '87063-49', '92242-81', '97418-62', '97899-13']",02/02/2021
100026-46,2013,Media,London,United Kingdom,13,42668.12869,71,"['102047-68', '105878-26', '124144-66', '168344-29', '182406-88', '277405-30', '459965-17', '459965-26', '54647-83', '56336-59', '59900-77', '60066-37', '98160-76']",02/22/2021
100030-60,2010,Textiles,Nottingham,United Kingdom,18,421370.6689,65,"['100035-10', '100035-19', '106143-13', '227355-58', '229325-77', '230424-13', '25318-72', '40414-78', '40845-79', '432900-55', '54172-81', '55695-52', '59240-08', '62731-09', '63943-39', '82844-20', '92246-05', '97584-58']",02/02/2021
100044-73,2012,Energy Equipment,Richmond,United States,7,813409.2193,56,"['100105-93', '11124-28', '11261-53', '186229-63', '186229-90', '458080-03', '64888-84']",02/02/2021
100059-04,2012,Services (Non-Financial),Berlin,Germany,12,733115.9917,9,"['10139-41', '106068-61', '108037-36', '11183-95', '11240-02', '11323-27', '52874-92', '53451-01', '54212-05', '55517-77', '57808-81', '58578-13']",02/02/2021
100077-31,2014,Software,Lehi,United States,17,965995.1379,37,"['105983-92', '106083-64', '106567-66', '107510-32', '120508-30', '123180-13', '123919-66', '125425-09', '168279-49', '454366-00', '50933-44', '50980-24', '51552-19', '57775-51', '59246-92', '97312-42', '98449-03']",02/15/2021
100080-64,2013,Healthcare Services,London,United Kingdom,3,997835.0827,28,"['168216-58', '222703-57', '51064-84']",02/22/2021
100084-24,2012,Commercial Services,London,United Kingdom,12,142408.8263,61,"['105938-65', '107179-21', '109144-36', '109279-27', '112979-35', '112979-53', '114703-39', '124044-31', '157663-45', '187963-03', '51064-84', '60225-49']",02/02/2021
100085-95,2011,Software,London,United Kingdom,15,287217.9831,21,"['102158-83', '10345-60', '105864-58', '11275-75', '112794-22', '11319-22', '114109-21', '115624-63', '150975-10', '178412-23', '180753-49', '51064-84', '51311-35', '53885-26', '98924-86']",02/22/2021
100099-09,2014,Software,San Francisco,United States,8,382002.6261,15,"['10139-41', '104872-06', '11822-68', '123625-45', '158595-22', '186811-30', '49063-60', '57405-97']",02/22/2021
100100-26,2012,Commercial Services,Brooklyn,United States,15,661951.0326,79,"['107825-05', '108968-59', '11189-44', '11280-34', '11877-94', '125780-32', '185891-41', '233424-82', '455047-66', '51007-51', '51089-77', '53788-78', '56833-03', '60007-78', '83135-44']",02/02/2021
100104-22,2014,Software,Ramat Gan,Israel,6,612876.8055,29,"['10134-73', '11220-13', '155941-84', '163274-95', '169016-32', '55996-30']",02/22/2021
100113-67,2007,Healthcare Devices and Supplies,Galveston,United States,14,51119.24233,71,"['109795-69', '110513-80', '120649-24', '168922-18', '41134-24', '52080-22', '52158-25', '52499-80', '52553-62', '58725-19', '59077-54', '61063-93', '61854-40', '96834-43']",02/22/2021
100136-53,2014,Software,Santa Monica,United States,20,719498.4764,61,"['100140-49', '101626-39', '105501-25', '105897-16', '105931-09', '106035-76', '106097-68', '106158-34', '106326-55', '11191-87', '11211-40', '119314-36', '119314-90', '230040-73', '24981-04', '339857-29', '45704-44', '51022-00', '53004-70', '65419-66']",02/22/2021
100143-55,2010,Software,Tel Aviv,Israel,16,453395.6718,12,"['10685-53', '109951-03', '109951-39', '109951-57', '109951-66', '113589-37', '180860-23', '184476-79', '433714-87', '433719-82', '51034-69', '55017-46', '55835-56', '57834-19', '81928-36', '88409-08']",02/22/2021
100147-42,2008,Retail,Seoul,South Korea,9,686741.6884,15,"['105833-44', '10594-72', '155882-26', '41563-99', '51160-87', '51646-51', '59256-46', '66352-60', '89876-26']",02/22/2021
100147-78,2014,Other Financial Services,Toronto,Canada,24,994032.0119,17,"['10463-23', '106294-33', '106307-47', '107875-63', '109270-00', '109270-81', '124929-82', '125704-54', '154274-77', '154287-10', '167212-00', '183794-77', '183795-49', '268029-10', '436895-56', '53992-27', '59633-29', '59661-10', '62717-95', '63638-83', '63840-61', '64279-54', '66175-93', '90649-36']",02/15/2021
100148-32,2013,Healthcare Technology Systems,Toronto,Canada,5,21429.45106,47,"['43646-32', '52775-83', '52827-67', '57412-63', '59637-16']",02/02/2021
100152-28,2014,Commercial Services,New York,United States,4,212090.7864,23,"['106338-79', '54946-18', '65826-82', '98677-81']",02/02/2021
100152-46,2013,Consumer Non-Durables,Medford,United States,15,620064,2,"['111353-86', '112791-07', '12104-83', '153093-88', '153093-97', '153094-42', '153094-60', '153100-18', '153132-67', '153227-08', '51956-47', '53186-86', '53239-33', '64546-39', '66417-67']",02/02/2021
100158-94,2014,Software,Berlin,Germany,8,352264.377,39,"['100624-51', '115624-63', '222257-62', '436050-01', '436050-19', '55123-03', '58027-87', '86344-75']",02/02/2021
100171-18,2014,Software,Paris,France,15,774158.1993,69,"['100157-14', '100229-86', '102119-95', '11183-95', '166627-90', '170155-63', '171024-04', '229017-25', '42995-26', '437463-82', '56631-61', '56790-19', '58004-02', '59213-35', '60026-68']",02/09/2021
100193-50,2012,Healthcare Technology Systems,Cambridge,United Kingdom,18,21050.78538,15,"['11109-61', '111146-41', '111728-89', '162505-45', '169152-04', '170583-67', '171049-51', '267156-82', '31269-70', '52120-00', '55161-46', '55280-53', '56233-99', '57652-93', '62030-98', '65458-90', '65898-19', '66037-60']",02/22/2021
100193-68,2012,Communications and Networking,Montreal,Canada,8,493772.8185,72,"['11605-96', '123772-60', '14155-30', '223626-97', '227260-18', '54172-81', '62717-95', '99469-18']",02/02/2021
100197-37,2013,Software,Woodcliff Lake,United States,2,356810.7507,35,"['42205-42', '59990-41']",02/15/2021
